season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,registered,cnt
1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,13,16
1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,32,40
1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,27,32
1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,10,13
1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1,1
1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1,1
1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,0,2
1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,2,3
1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,7,8
1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,6,14
1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,24,36
1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,30,56
1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,55,84
1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,94
1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,71,106
1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,70,110
1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,52,93
1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,52,67
1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,26,35
1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,31,37
1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,25,36
1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.19399999999999998,31,34
1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,17,28
1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,24,39
1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,13,17
1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,16,17
1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,8,9
1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,4,6
1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,1,3
1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2,2
1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.19399999999999998,1,1
1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8,8
1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,19,20
1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,46,53
1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,54,70
1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,73,93
1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,64,75
1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.19399999999999998,55,59
1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,55,74
1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,67,76
1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,58,65
1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,43,53
1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,29,30
1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,17,22
1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,20,31
1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9,9
1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8,8
1,0,1,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,5,5
1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2,2
1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1,1
1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3,3
1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30,30
1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.19399999999999998,63,64
1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,153,154
1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,81,88
1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,33,44
1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,41,51
1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,48,61
1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,53,61
1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,66,77
1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,58,72
1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,67,76
1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,146,157
1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,148,157
1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,102,110
1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,49,52
1,0,1,21,0,1,1,1,0.18,0.19699999999999998,0.64,0.1343,49,52
1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20,20
1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,11,12
1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5,5
1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2,2
1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1,1
1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2,2
1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4,4
1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36,36
1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,92,94
1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,177,179
1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,98,100
1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,37,42
1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,50,57
1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,66,78
1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.19399999999999998,79,97
1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,54,63
1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,48,65
1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,68,83
1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,202,212
1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.19399999999999998,179,182
1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,110,112
1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,53,54
1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48,48
1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,34,35
1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,9,11
1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6,6
1,0,1,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,6,6
1,0,1,2,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,2,2
1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2,2
1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3,3
1,0,1,6,0,3,1,1,0.2,0.19699999999999998,0.47,0.2239,33,33
1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.19399999999999998,87,88
1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,192,195
1,0,1,9,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,109,115
1,0,1,10,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,53,57
